Toby Banzett,toby@gmail.com,cs1531,0491 570 156,PATHOLOGIST,6
Gary Marcellino,gary@gmail.com,cs1531,0420 091 717,GP,7
Samuel Meltzer,samuel@gmail.com,cs1531,0489 865 904,GP,8
Serena Schoon,ss@gmail.com,cs1531,0491 570 110,PATHOLOGIST,9
Peggy Olsen,peggy@gmail.com,cs1531,0491 570 158,PHYSIOTHERAPIST,10
Joan Harris,joan@gmail.com,cs1531,0481 593 672,GP,11
Maite Mateo,maite@gmail.com,cs1531,0481 847 103,PHARMACIST,12
Ian McKeller,ian@gmail.com,cs1531,0416 184 831,PHYSIOTHERAPIST,13
Sam Smith,sam@gmail.com,cs1531,0482 598 295,SPECIALIST,14
Hussein Debel,huss@gmail.com,cs1531,0485 927 492,SPECIALIST,15
Stefan Tan,stefan@gmail.com,cs1531,0482 593 503,SPECIALIST,16
